SampleID	Sample	Type	Location	Temperature	Precipitation	pH	N	C	C:N	Free_ergosterol_(mg_g-1)	Total_ergosterol_(mg_g-1)	Long	Lat	Wind	Perc	Cloud	Temp_1	Moist	PreY
DB04	Bistorta	Plantroot	Ves	mid	wet	0.718	0.367	0.223	0.414	0.192	0.524	0	0.328	0.37	0.691	0.092	0.328	1	0.705
DB05	Bistorta	Plantroot	Ves	mid	wet	0.718	0.367	0.223	0.414	0.192	0.524	0	0.328	0.37	0.691	0.092	0.328	1	0.705
DB06	Bistorta	Plantroot	Ves	mid	wet	0.718	0.367	0.223	0.414	0.192	0.524	0	0.328	0.37	0.691	0.092	0.328	1	0.705
DB07	Bistorta	Plantroot	Ves	mid	wet	0.718	0.367	0.223	0.414	0.192	0.524	0	0.328	0.37	0.691	0.092	0.328	1	0.705
DB08	Bistorta	Plantroot	Arh	low	semi-wet	0.385	0.396	0.602	0.742	0.518	0.395	0.158	0.239	0.372	0.851	0	0.995	0.82	0.834
DB09	Bistorta	Plantroot	Arh	low	semi-wet	0.385	0.396	0.602	0.742	0.518	0.395	0.158	0.239	0.372	0.851	0	0.995	0.82	0.834
DB10	Bistorta	Plantroot	Arh	low	semi-wet	0.385	0.396	0.602	0.742	0.518	0.395	0.158	0.239	0.372	0.851	0	0.995	0.82	0.834
DB14	Bistorta	Plantroot	Ulv	alpine	dry	0.663	0.626	0.485	0.402	0.693	0.554	0.84	0.823	0.481	0.32	0.64	0.007	0.253	0.276
DB15	Bistorta	Plantroot	Ulv	alpine	dry	0.663	0.626	0.485	0.402	0.693	0.554	0.84	0.823	0.481	0.32	0.64	0.007	0.253	0.276
DB16	Bistorta	Plantroot	Ulv	alpine	dry	0.663	0.626	0.485	0.402	0.693	0.554	0.84	0.823	0.481	0.32	0.64	0.007	0.253	0.276
DB20	Bistorta	Plantroot	Lav	alpine	semi-dry	0.744	0.422	0.739	0.774	0.343	0.497	0.412	0.61	0.578	0.476	0.679	0.049	0.446	0.399
DB21	Bistorta	Plantroot	Lav	alpine	semi-dry	0.744	0.422	0.739	0.774	0.343	0.497	0.412	0.61	0.578	0.476	0.679	0.049	0.446	0.399
DB22	Bistorta	Plantroot	Lav	alpine	semi-dry	0.744	0.422	0.739	0.774	0.343	0.497	0.412	0.61	0.578	0.476	0.679	0.049	0.446	0.399
DB26	Bistorta	Plantroot	Alr	mid	dry	0.513	0.46	0.629	0.69	0.638	0.487	0.409	0.936	0.13	0.493	1	0.321	0.041	0.245
DB27	Bistorta	Plantroot	Alr	mid	dry	0.513	0.46	0.629	0.69	0.638	0.487	0.409	0.936	0.13	0.493	1	0.321	0.041	0.245
DB28	Bistorta	Plantroot	Alr	mid	dry	0.513	0.46	0.629	0.69	0.638	0.487	0.409	0.936	0.13	0.493	1	0.321	0.041	0.245
DB32	Bistorta	Plantroot	Skj	alpine	wet	NA	NA	NA	NA	NA	NA	0.632	0.28	0.726	0.871	0.419	0.041	0.588	0.844
DB33	Bistorta	Plantroot	Skj	alpine	wet	NA	NA	NA	NA	NA	NA	0.632	0.28	0.726	0.871	0.419	0.041	0.588	0.844
DB34	Bistorta	Plantroot	Skj	alpine	wet	NA	NA	NA	NA	NA	NA	0.632	0.28	0.726	0.871	0.419	0.041	0.588	0.844
