X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU_1	OTU_2	0.739016	0.739016	0.739016	1	1	24	0	0.000000	0.793859	0.000004	0.793859	0.000004	0	0.883192	0.000000	0.883192	0.000000	0	0.000000	0.000261	0.000001	0.000012	0.000000	1	2
OTU_1	OTU_5	-0.335496	-0.335496	-0.335496	1	1	18	0	0.312000	-0.177516	0.406627	0.190898	0.382923	-1	-0.412638	0.045081	-0.412638	0.045081	0	0.489372	0.630283	0.003731	0.177449	0.000475	1	3
OTU_1	OTU_3	0.316840	0.316840	0.316840	6	5	16	1	0.322000	-0.222752	0.295460	-0.222752	0.295460	0	-0.051744	0.810236	0.348726	0.102926	1	0.494753	0.630283	0.003510	0.603688	0.000696	1	4
OTU_1	OTU_4	-0.566595	-0.566595	-0.566595	1	1	22	0	0.001000	-0.317241	0.130910	-0.317241	0.130910	0	-0.707883	0.000109	-0.707883	0.000109	0	0.038560	0.624724	0.002607	0.005450	0.000020	1	5
OTU_1	OTU_7	-0.310064	-0.310064	-0.310064	1	1	18	0	0.368000	-0.284285	0.178194	-0.284285	0.178194	0	-0.286156	0.175232	-0.310960	0.148672	-1	0.520928	0.630283	0.002954	0.323771	0.000840	1	6
OTU_1	OTU_10	0.218977	0.218977	0.218977	12	11	9	1	0.769000	-0.106066	0.621822	-0.306190	0.155333	-1	0.082530	0.701435	-0.139364	0.525951	-1	0.690882	0.630283	0.002788	0.571268	0.001761	1	7
OTU_1	OTU_6	-0.362474	-0.362474	-0.362474	7	8	15	-1	0.833000	-0.168376	0.431588	-0.168376	0.431588	0	0.046322	0.829822	0.288376	0.182061	1	0.707749	0.630283	0.003806	0.609446	0.000930	1	8
OTU_1	OTU_11	-0.327914	-0.327914	-0.327914	1	1	21	0	0.920000	-0.162993	0.446667	-0.162993	0.446667	0	-0.154931	0.469760	0.252587	0.244916	-1	0.734051	0.630283	0.003849	0.491707	0.001087	1	9
OTU_1	OTU_8	0.487528	0.487528	0.487528	1	1	21	0	0.018000	0.212294	0.319292	0.212294	0.319292	0	0.610814	0.001522	0.610814	0.001522	0	0.154377	0.630283	0.003583	0.030303	0.000097	1	10
OTU_1	OTU_14	0.501251	0.501251	0.501251	4	4	21	0	0.196000	-0.098955	0.645495	0.585648	0.003323	-1	0.471967	0.019884	0.471967	0.019884	0	0.405808	0.630283	0.000212	0.118960	0.000328	1	11
OTU_1	OTU_35	-0.378380	-0.378380	-0.378380	7	7	17	0	0.059000	-0.222540	0.295932	-0.233362	0.283882	-1	-0.467279	0.021320	-0.467279	0.021320	0	0.252558	0.630283	0.003474	0.123339	0.000341	1	12
OTU_1	OTU_13	-0.352423	-0.352423	-0.352423	2	3	22	-1	0.025000	-0.187045	0.381479	-0.200591	0.358760	-1	-0.282462	0.181115	-0.486895	0.018463	-1	0.179851	0.630283	0.003691	0.328411	0.000321	1	13
OTU_1	OTU_19	-0.304729	-0.304729	-0.304729	4	5	14	-1	0.122000	-0.252386	0.234122	-0.252386	0.234122	0	-0.386207	0.062309	-0.387729	0.067541	-1	0.333545	0.630283	0.003276	0.206767	0.000578	1	14
