shared_name	Tax_SuperGroup	Tax_Group
OTU_1	Archaeplastida	Mamiellophyceae
OTU_2	Archaeplastida	Mamiellophyceae
OTU_3	Hacrobia	Cryptophyceae
OTU_4	Rhizaria	Acantharea
OTU_5	Alveolata	MALV-I
OTU_6	Alveolata	MALV-II
OTU_7	Alveolata	MALV-I
OTU_8	Hacrobia	Cryptophyceae
OTU_9	Opisthokonta	Metazoa
OTU_10	Alveolata	MALV-I
OTU_11	Stramenopiles	MAST-3C
OTU_12	Alveolata	Ciliophora
OTU_13	Alveolata	MALV-I
OTU_14	Alveolata	MALV-II
OTU_15	Stramenopiles	Diatoms
OTU_16	Alveolata	MALV-III
OTU_17	Alveolata	MALV-II
OTU_18	Alveolata	Dinophyceae
OTU_19	Hacrobia	Picobiliphyta
OTU_20	Opisthokonta	Ichtyosporea
OTU_21	Alveolata	Dinophyceae
OTU_22	Alveolata	Ciliophora
OTU_23	Alveolata	MALV-II
OTU_24	Alveolata	Dinophyceae
OTU_25	Archaeplastida	Mamiellophyceae
OTU_26	Alveolata	Dinophyceae
OTU_27	Stramenopiles	MAST-4A
OTU_28	Alveolata	MALV-I
OTU_29	Alveolata	MALV-I
OTU_30	Hacrobia	Cryptophyceae
OTU_31	Alveolata	Dinophyceae
OTU_32	Alveolata	MALV-I
OTU_33	Opisthokonta	Metazoa
OTU_34	Alveolata	Ciliophora
OTU_35	Alveolata	MALV-II
OTU_36	Hacrobia	Cryptophyceae
OTU_37	Stramenopiles	Diatoms
OTU_38	Opisthokonta	Metazoa
OTU_39	Hacrobia	Picobiliphyta
OTU_40	Hacrobia	Katablepharidales
OTU_41	Alveolata	Ciliophora
OTU_42	Rhizaria	Acantharea
OTU_43	Hacrobia	Picobiliphyta
OTU_44	Alveolata	MALV-II
OTU_45	Stramenopiles	Labyrinthulomycetes
OTU_46	Alveolata	MALV-II
OTU_47	Alveolata	Dinophyceae
OTU_48	Alveolata	MALV-I
OTU_49	Alveolata	MALV-II
OTU_50	Alveolata	Ciliophora
OTU_51	Eukaryota	Nucleomorph
OTU_52	Alveolata	Dinophyceae
OTU_53	Archaeplastida	Mamiellophyceae
OTU_54	Amoebozoa	Amoebozoa
OTU_55	Alveolata	MALV-II
OTU_56	Hacrobia	Cryptophyceae
OTU_57	Alveolata	MALV-I
OTU_58	Alveolata	MALV-I
OTU_59	Alveolata	MALV-II
OTU_60	Stramenopiles	Diatoms
OTU_61	Alveolata	Ciliophora
OTU_62	Stramenopiles	Pelagophytes
OTU_63	Alveolata	Dinophyceae
OTU_64	Alveolata	Ciliophora
OTU_65	Alveolata	MALV-II
OTU_66	Alveolata	MALV-II
OTU_67	Alveolata	Dinophyceae
OTU_68	Alveolata	MALV-I
OTU_69	Hacrobia	Cryptophyceae
OTU_70	Stramenopiles	MAST-2B
OTU_71	Alveolata	MALV-I
OTU_72	Alveolata	MALV-II
OTU_73	Alveolata	Dinophyceae
OTU_74	Alveolata	MALV-II
OTU_75	Alveolata	Dinophyceae
OTU_76	Alveolata	MALV-I
OTU_77	Stramenopiles	MAST-1C
OTU_78	Alveolata	Dinophyceae
OTU_79	Stramenopiles	Diatoms
OTU_80	Alveolata	MALV-I
OTU_81	Alveolata	Dinophyceae
OTU_82	Hacrobia	Centroheliozoa
OTU_83	Alveolata	Ciliophora
OTU_84	Stramenopiles	MAST-4E
OTU_85	Alveolata	Dinophyceae
OTU_86	Stramenopiles	MAST-3D
OTU_87	Alveolata	Ciliophora
OTU_88	Opisthokonta	Metazoa
OTU_89	Alveolata	Dinophyceae
OTU_90	Alveolata	MALV-II
OTU_91	Hacrobia	Cryptophyceae
OTU_92	Alveolata	MALV-I
