#Row.names	X18S_BL040126_022.	X18S_BL040223_022.	X18S_BL040322_022.	X18S_BL040419_022.	X18S_BL040525_022.	X18S_BL040628_022.	X18S_BL040719_022.	X18S_BL040831_022.	X18S_BL040929_022.	X18S_BL041019_022.	X18S_BL041116_022.	X18S_BL041214_022.	X18S_BL050120_022.	X18S_BL050215_022.	X18S_BL050309_022.	X18S_BL050413_022.	X18S_BL050510_022.	X18S_BL050607_022.	X18S_BL050705_022.	X18S_BL050803_022.	X18S_BL050913_022.	X18S_BL051004_022.	X18S_BL051108_022.	X18S_BL051213_022.
OTU_1	720	670	1777	85	0	0	0	0	4	15	25	657	715	3009	2	13	1	0	8	0	2608	290	46	80
OTU_2	271	134	1784	86	0	14	0	9	0	20	8	347	1709	1526	3	9	15	2	100	0	908	58	54	206
OTU_5	12	1	7	4	191	3.00E+03	12	18	107	128	76	5	16	11	1612	0	1	117	0	32	13	32	8	50
OTU_3	140	100	143	147	0	0	663	747	622	245	164	272	228	98	488	53	79	58	0	370	68	101	114	86
OTU_4	0	0	1	4	797	416	181	15	103	173	252	0	0	9	0	153	714	44	37	1076	1	0	118	14
OTU_7	2	23	4	0	999	0	314	358	334	116	26	96	6	0	0	0	86	324	2	0	8	1	538	27
OTU_10	36	151	108	46	114	201	114	133	102	26	203	401	170	26	0	452	0	37	3	0	93	2	114	726
OTU_6	49	0	0	0	0	0	0	207	120	294	24	0	226	0	0	27	0	160	0	0	1	0	1601	415
OTU_11	0	0	1	0	1792	0	0	0	0	2	0	4	2	0	4	0	4	0	1182	48	0	4	10	5
OTU_8	219	220	445	645	138	0	182	17	66	73	82	271	213	34	0	1	0	7	1	0	150	32	55	182
OTU_14	0	0	0	1801	0	0	0	0	0	0	0	4	5	4	0	0	0	1	0	0	2	1122	0	0
OTU_35	28	0	0	1	0	0	89	41	26	29	19	1	0	0	0	1111	837	245	0	352	0	0	0	3
OTU_13	23	70	1	0	0	0	88	959	1076	46	14	0	31	0	0	0	44	34	1	148	7	0	0	0
OTU_19	0	3	2	504	0	35	109	164	137	120	109	14	0	0	0	881	101	15	0	118	4	96	0	6
OTU_17	0	0	3	2020	0	0	0	97	67	44	3	0	0	0	0	0	30	36	94	0	0	16	0	0
OTU_15	426	431	134	11	0	0	0	0	0	0	20	22	75	0	0	0	0	0	3	0	933	0	33	33
OTU_29	3	329	4	0	0	0	49	19	182	268	148	1	4	0	347	606	0	0	1	0	0	1	67	81
OTU_16	182	298	164	109	0	0	0	3	47	41	43	202	209	157	2	0	0	15	0	74	273	14	17	215
OTU_41	0	0	4	7	7	32	0	0	0	0	0	0	0	0	0	0	0	0	1300	4	0	677	0	0
OTU_22	155	10	76	1	0	0	0	17	14	35	11	131	57	232	449	0	17	2	0	0	95	224	268	13
OTU_21	59	0	0	22	0	0	25	0	0	3	135	5	43	0	0	82	162	5	14	967	36	185	19	12
OTU_4576	4	0	24	1	0	66	21	413	96	53	6	79	159	95	418	1	3	37	1	45	74	0	76	62
