envar BL040126	BL040419	BL040719	BL041019	BL050120	BL050413	BL050705	BL051004
ENV_Temp	14	12.6	24	19.2	13	13	24	21.5
ENV_SECCHI	14	6	24	12	19	18	22	17
ENV_SAL_CTD	37.9	35.9	36.9	37.5	37	37.7	37.35	35.1
ENV_CHL_total	1.1	1.4	0.4	0.3	0.5	2	0.1	0.6
ENV_PO4	0.2	0.2	0.1	0.1	0.2	0.3	0.2	0.2
ENV_NH4	0.3	1.5	1	0.5	1.1	2.1	1.4	1.5
ENV_NO2	0.3	0.4	0.2	0.1	0.2	0.4	0.1	0.1
ENV_NO3	1.5	2.5	0.1	0.4	1.1	3.3	0.2	2.4
ENV_SI	1.8	6.1	1.4	1.4	2.6	3.4	1.8	1.6
ENV_BACTERIA	854356	1046779	1654834	1083724	582655	788163	1127596	885144
ENV_SYNECHOS	5927	1411	38741	30915.5	8253	4169	24823	33866
ENV_Micromonas	9258	1424	203	730	4414	1543	505	573
ENV_PNF_tot	11451	2266	1228	2811	5853	2506	1699	2052
ENV_HNF_tot	329	1793	1357	822	420	669	1528	837
ENV_Day_length_Hours_light	9.8	13.51	14.81	10.94	9.61	13.2	15.12	11.67
Month	01_jan	04_apr	07_jul	10_oct	01_jan	04_apr	07_jul	10_oct
Season	win	spr	sum	aut	win	spr	sum	aut
Season_corr	win	spr	sum	aut	win	spr	sum	aut
Year	2004	2004	2004	2004	2005	2005	2005	2005
