Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
100	100	100	100	100	100	100	72
100	100	100	100	100	100	100	100
100	39	38	38	38	38	38	38
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	53	19	19	14
100	100	100	100	100	100	94	94
100	100	100	100	100	100	68	68
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	69	62
100	100	100	100	100	100	100	85
100	100	100	100	100	100	100	100
100	99	97	96	32	24	18	18
100	100	100	100	100	100	100	100
100	100	100	100	100	100	46	46
100	100	100	100	100	100	100	100
100	100	100	100	93	34	34	34
100	100	100	100	99	99	94	94
100	100	100	100	88	87	86	44
100	100	100	100	100	100	100	100
100	100	100	100	100	100	30	28
100	100	100	100	99	96	24	24
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	86
100	100	100	100	100	100	100	55
100	100	100	100	100	100	100	100
100	100	100	100	18	18	18	18
100	100	100	100	100	98	38	38
100	100	100	100	55	55	55	55
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	99	99	99
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	99
100	100	100	100	99	99	93	83
100	99	99	99	62	24	14	14
100	100	100	100	100	100	100	100
100	100	100	100	100	100	94	94
100	100	100	100	100	100	100	64
100	100	100	100	100	100	100	100
100	100	100	100	100	100	78	78
100	100	100	100	100	100	100	100
100	100	100	100	100	100	97	95
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	36	36	36	36
100	100	100	100	98	98	98	98
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	99	99	99	99
100	18	16	15	15	15	12	12
100	100	100	100	68	68	68	68
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	88	84	68	68
100	100	100	100	95	95	95	95
100	100	100	100	100	100	100	71
100	100	100	100	100	100	100	100
100	100	100	100	96	71	45	45
100	100	100	100	39	39	39	39
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	49	49	49
100	100	100	100	99	99	98	81
100	100	100	100	82	82	82	82
100	100	100	100	100	100	100	100
100	100	100	100	86	86	86	86
100	100	100	100	100	100	100	64
100	100	100	100	100	68	68	68
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	81	81	81	81
100	100	100	100	99	99	92	60
100	100	100	100	100	67	67	67
100	100	100	100	100	100	100	100
100	100	100	100	65	37	37	36
100	100	100	100	40	40	40	40
100	100	100	100	100	100	100	100
100	100	100	100	100	100	22	22
100	100	100	100	100	100	100	100
100	100	100	100	36	36	36	36
100	86	78	74	62	53	53	53
100	100	100	100	100	100	100	100
100	26	25	7	7	7	0	0
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	66	33	25	22
100	100	100	100	100	100	100	100
100	100	100	100	100	100	85	64
100	100	100	65	65	65	65	65
100	100	100	100	100	100	100	100
100	100	100	100	47	43	40	36
100	100	100	100	100	97	97	97
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	80	80
100	100	100	100	81	77	49	45
100	100	100	100	59	38	38	38
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	51	31	31	26
100	100	100	100	100	100	100	100
100	100	100	100	76	63	63	63
100	100	100	100	100	100	100	100
100	100	100	100	75	75	67	39
100	100	100	100	100	100	53	53
100	100	100	100	91	90	90	70
100	100	100	100	100	100	100	80
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	64	64	64
100	100	100	100	100	100	100	100
100	100	100	100	97	97	97	96
100	100	100	100	100	100	77	77
100	100	100	100	38	38	38	38
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	98	98	98	51	42
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	97
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	83	81	68	61
100	100	100	100	100	100	100	100
100	22	21	21	21	20	20	20
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	95	95	95	95
100	99	99	99	99	95	95	95
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	99	99	99	97
100	100	100	100	100	100	100	100
100	100	100	100	99	99	99	99
100	35	30	23	22	22	15	15
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	95	95	95	94
100	100	100	100	100	100	100	92
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	91	91	91
100	71	61	33	33	30	21	15
100	100	100	100	100	100	100	100
100	100	100	99	99	99	99	99
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	99	99	97	97	73	73	73
100	100	100	100	100	100	100	100
100	34	33	33	33	32	32	32
100	100	100	100	100	100	100	100
100	100	100	100	100	98	66	44
100	100	100	100	100	100	85	85
100	100	100	100	100	99	99	99
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	98	98	98	55
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	99	95
100	100	100	100	100	98	98	98
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	98	98	98	98	98	98	98
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	32	26	17	17	17	13	13
100	100	100	100	55	24	24	24
100	81	78	76	49	41	41	41
100	100	100	100	100	100	100	81
100	100	100	100	100	100	92	92
100	100	100	100	100	100	100	100
100	100	100	100	90	90	90	90
100	100	100	100	100	100	100	100
100	100	100	100	97	97	97	97
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	60	45	42	38
100	100	100	100	100	98	98	98
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
